RUA,CEP,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO
Rua Abegoaria,05436170,350,4,3,4,2250000
Rua Camundo,04071040,365,7,1,3,1915000
Rua Senador César Lacerda Vergueiro,05435060,248,4,1,5,3500000
Rua dos Americanos,01138010,150,3,2,1,840000
Rua Coronel Irlandino Sandoval,01457010,390,4,1,5,5050000
Vila Matilde,03541005,153,4,2,2,690000
Rua Manuel Gaya,02313000,113,3,4,2,660000
Jardim Santo Elias,05136000,250,3,3,2,700000
Rua Brás Lourenço,04113110,190,4,3,2,800000
Rua Diana,05019000,122,4,1,1,1000000
Rua Conselheiro Brotero,01154001,170,3,2,2,745000
Rua Major Alberto Barbosa,03642020,125,3,2,2,550000
Rua Imbocuí,03088030,167,2,2,3,1000000
Rua Professor Nova Gomes,05448100,261,3,4,2,1691000
Rua Aleixo Jorge,01259050,150,4,1,2,1500000
Rua Heitor de Morais,01237000,500,4,4,10,2300000
Rua Peixes,08340440,386,3,2,6,295000
Rua Dobrada,02514060,306,4,1,4,1400000
Rua Comissário Gastão Moutinho,05654060,580,3,3,6,2300000
Chácara Japonesa,04726110,207,3,3,3,1590000
Rua Banibás,05460010,396,4,5,4,3800000
Alto de Pinheiros,05462050,294,4,6,5,5950000
Rua Moacir Miguel da Silva,05595000,150,3,3,3,900000
Rua Marechal Bitencourt,01432020,967,4,5,8,25000000
Rua Francisco Dias Velho,04581000,200,3,3,2,1310000
